Almanca,Azərbaycanca
"das Rätsel, -",tapmaca
der Regen (Sg.),yağış
"die Reise, -n",səyahət
"das Restaurant, -s",restoran
"der Ring, -e",üzük / halqa
"der Rucksack, -e",sırt çantası
"die Sache, -n",məsələ / əşya
"der Saft, -e",şirə / meyvə suyu
"der Salat, -e",salat
"das Schiff, -e",gəmi
"der Schmerz, -en",ağrı
"die Schokolade, -n",şokolad
"das Schwimmbad, -er",üzgüçülük hovuzu
"der See, -n",göl
"die Seite, -n",səhifə / tərəf
"der Spaß, -e",əyləncə / zövq
"das Spiel, -e",oyun
"der Spielplatz, -e",oyun meydançası
der Sport (Sg.),idman
"die Sprache, -n",dil
"die Stadt, -e",şəhər
"der Strand, -e",çimərlik / sahil
"die Straße, -n",küçə / yol
"das Stück, -e",parça / hissə
"der Supermarkt, -e",supermarket
"die Suppe, -n",şorba
die Süßigkeiten (Pl.),şirniyyat
"die Tasche, -n",çanta
das Taschengeld (Sg.),cib pulu
"die Tasse, -n",fincan / stəkan
"der Tee, -s",çay (içki)
"das Theater, -",teatr
"das Thema, Themen",mövzu
"das Tier, -e",heyvan
"der Tisch, -e",masa / stol
"die Toilette, -n",tualet
"das T-Shirt, -s",futbolka
"die Tür, -en",qapı
"die U-Bahn, -en",metro
der Unterricht (Sg.),dərs / təlim
"der Vorname, -n",ad
"der Wald, -er",meşə
das Wasser (Sg.),su
das Wiedersehen (Sg.),yenidən görüş
"die Wohnung, -en",mənzil / dairə
"das Wohnzimmer, -",qonaq otağı
"das Wort, -er / Worte",söz
"die Wurst, -e",kolbasa / sosis
"der Zahn, -e",diş
"die Zeit, -en",vaxt / zaman
"die Zeitung, -en",qəzet
"das Zimmer, -",otaq
"der Zug, -e",qatar
