Bescheinigung	die	arayış
Beschreibung	die	təsvir
Besprechung	die	müzakirə, iclas
Besserung	die	sağalma
Bestätigung	die	təsdiq
Besuch	der	ziyarət
Betrag	der	məbləğ
Betreuung	die	qayğı
Betrieb	der	müəssisə; fəaliyyət
Betriebsrat	der	işçi şurası
Bett	das	çarpayı
Bevölkerung	die	əhali
Bewegung	die	hərəkət
Beweis	der	sübut
Bewerbung	die	iş ərizəsi
Bewohner	der	sakin
Beziehung	die	münasibət
Bibliothek	die	kitabxana
Bier	das	pivə
Biergarten	der	pivə bağı
Bild	das	şəkil
Bildschirm	der	ekran
Bitte	die	xahiş
Blatt	das	yarpaq; vərəq
Bleistift	der	qələm
Blick	der	baxış, mənzərə
Blitz	der	şimşək
Blut	das	qan
Boden	der	döşəmə; torpaq
Bogen	der	vərəq; qövs
Bohne	die	lobya
Bonbon	das	konfet
Boot	das	qayıq
Botschaft	die	səfirlik
Brötchen	das	çörək, bulka
Brücke	die	körpü
Bruder	der	qardaş
Brust	die	döş, sinə
Buch	das	kitab
Buchhandlung	die	kitab mağazası
Bücherei	die	kitabxana
Buchstabe	der	hərf
Bürger	der	vətəndaş
Bürgerbüro	das	vətəndaş xidməti ofisi
Bürgersteig	der	səki
Büro	das	ofis
Bürste	die	fırça
Bus	der	avtobus
Butter	die	kərə yağı
Café	das	kafe
Camping	das	kampinq
CD	die	CD (kompakt disk)
CD-ROM	die	CD-ROM
Chance	die	şans, imkan
Chef	der	rəis, patron
Chemie	die	kimya
Club	der	klub
Cola	die	kola
Couch	die	divan, kauç
Cousin	der	əmiuşağı (kişi)
Cousine	die	əmiuşağı (qadın)
Computer	der	kompüter
Creme	die	krem
Dach	das	dam
Dame	die	xanım
Dank	der	təşəkkür
Datei	die	fayl
Datum	das	tarix
Decke	die	tavan; yorğan
Demokratie	die	demokratiya
Diät	die	pəhriz
Dieb	der	oğru
Dienst	der	xidmət
Ding	das	əşya, predmet
Direktor	der	direktor
Diskothek	die	diskoteka
Diskussion	die	müzakirə
Doktor	der	doktor
Dorf	das	kənd
Dose	die	qutu, banka
Drogerie	die	ətriyyat mağazası
Druck	der	təzyiq; basma
Drucker	der	printer
Durst	der	susuzluq
Dusche	die	duş
DVD	die	DVD
Ecke	die	künc
Ehe	die	evlilik
Ehefrau	die	arvad
Ehemann	der	ər
Ehegatte	der	həyat yoldaşı (kişi)
Ehegattin	die	həyat yoldaşı (qadın)
Ehepaar	das	evli cütlük
Ehre	die	şərəf
Ei	das	yumurta
Eile	die	tələskənlik
Einbahnstraße	die	birtərəfli küçə
Einbrecher	der	oğru
Einbruch	der	oğurluq
Eindruck	der	təəssürat
Einfall	der	fikir
Einfluss	der	təsir
Einführung	die	təqdimat
Eingang	der	giriş
Einkauf	der	alış-veriş
Einkommen	das	gəlir
Einladung	die	dəvət
Einnahme	die	gəlir
Einrichtung	die	avadanlıq; təşkilat
Einschreiben	das	sifarişli məktub
Eintritt	der	giriş (pulu)
Einwohner	der	sakin
Einzelheit	die	təfərrüat
Eis	das	dondurma; buz
Eisen	das	dəmir
Eisenbahn	die	dəmir yolu
Eltern	die	valideynlər (yalnız cəm)
Elternabend	der	valideyn iclası
Elternbeirat	der	valideyn şurası
E-Mail	die	elektron məktub
Empfang	der	qəbul
Empfehlung	die	tövsiyə
Ende	das	son
Energie	die	enerji
Enkel	der	nəvə
Entfernung	die	məsafə
Entscheidung	die	qərar
Entschuldigung	die	üzr
Enttäuschung	die	məyusluq
Entwicklung	die	inkişaf
Erde	die	yer (torpaq); dünya
Erdgeschoss	das	birinci mərtəbə
Ereignis	das	hadisə
Erfahrung	die	təcrübə
Erfindung	die	ixtira
Erfolg	der	uğur
Ergebnis	das	nəticə
Erhöhung	die	artım
Erholung	die	istirahət
Erinnerung	die	xatirə
Erklärung	die	izah; bəyannamə
Erlaubnis	die	icazə
Erlebnis	das	təcrübə, hadisə
Ermäßigung	die	endirim
Ernährung	die	qidalanma
Eröffnung	die	açılış
Ersatz	der	əvəz
Ersatzteil	das	ehtiyat hissə
Erwachsene	der	yetkin insan, böyük adam
Erziehung	die	tərbiyə
Essen	das	yemək
Essig	der	sirkə
Experte	der	ekspert
Export	der	ixrac
Fabrik	die	fabrik
Fach	das	fənn; bölmə
Fachmann	der	mütəxəssis
Fachleute	die	mütəxəssislər (yalnız cəm)
Fähre	die	bərə
Fahrbahn	die	yol (hərəkət hissəsi)
Fahrer	der	sürücü
Fahrkarte	die	bilet
Fahrplan	der	cədvəl (qatar, avtobus)
Fahrrad	das	velosiped
Fahrschule	die	sürücülük məktəbi
Fahrzeug	das	nəqliyyat vasitəsi
Fall	der	hal, vəziyyət
Familie	die	ailə
Familienstand	der	ailə vəziyyəti
Fan	der	azarkeş
Fantasie	die	xəyal gücü
Farbe	die	rəng
Fax	das	faks
Feier	die	tədbir, bayram
Feierabend	der	iş gününün sonu
Feiertag	der	bayram günü
Fenster	das	pəncərə
Ferien	die	tətil
Fernbedienung	die	pult
Fernsehen	das	televiziya
Fernseher	der	televizor
Fest	das	bayram, şənlik
Festplatte	die	sabit disk
Festnetz	das	sabit telefon xətti
Feuer	das	yanğın; od
Feuerzeug	das	alışqan
Feuerwehr	die	yanğınsöndürmə xidməti
Fieber	das	qızdırma
Figur	die	fiqur; rəqəm
Film	der	film
Finger	der	barmaq
Firma	die	firma
Fisch	der	balıq
Fitness	die	fitness
Fläche	die	sahə
Flasche	die	şüşə
Fleck	der	ləkə
Fleisch	das	ət
Flucht	die	qaçış
Flug	der	uçuş
Flughafen	der	hava limanı
Flugzeug	das	təyyarə
Flur	der	dəhliz
Fluss	der	çay
Flüssigkeit	die	maye
Folge	die	nəticə; seriya
Forderung	die	tələb
Förderung	die	təşviq, dəstək
Form	die	forma
Formular	das	blank, anket
Fortbildung	die	ixtisasartırma
Fortschritt	der	irəliləyiş
Fortsetzung	die	davam
Foto	das	şəkil
Fotoapparat	der	fotoaparat
Fotografie	die	fotoqrafiya
Frage	die	sual
Frau	die	qadın; xanım
Freiheit	die	azadlıq
Freizeit	die	asudə vaxt
Fremdsprache	die	xarici dil
Freude	die	sevinc
Freund	der	dost
Friseur	der	bərbər (kişi)
Frist	die	müddət
Frucht	die	meyvə
Frühstück	das	səhər yeməyi
Führerschein	der	sürücülük vəsiqəsi
Führung	die	rəhbərlik; ekskursiya
Fundbüro	das	itirilmiş əşyalar bürosu
Fuß	der	ayaq
Fußball	der	futbol
Fußgänger	der	piyada
Fußgängerzone	die	piyadalar zonası
Gabel	die	çəngəl
Gang	der	dəhliz; dişli
Garage	die	qaraj
Garantie	die	zəmanət
Garderobe	die	qarderob, asılqan
Garten	der	bağ
Gas	das	qaz
Gast	der	qonaq
Gaststätte	die	restoran, yeməkxana
Gebäude	das	bina
Gebäck	das	çörək məmulatı
Gebrauchsanweisung	die	istifadə təlimatı
Gebühr	die	rüsum, haqq
Geburt	die	doğum
Geburtstag	der	ad günü
Geduld	die	səbir
Gefahr	die	təhlükə
Gefängnis	das	həbsxana
Gefühl	das	hiss
Gegend	die	bölgə, ərazi
Gegenstand	der	əşya, predmet
Gehalt	das	maaş
Geheimnis	das	sirr
Geld	das	pul
Gelegenheit	die	fürsət, imkan
Gemüse	das	tərəvəz
Genehmigung	die	icazə
Gepäck	das	baqaj
Gerät	das	cihaz, alət
Gericht	das	məhkəmə; yemək
Gerichtsverhandlung	die	məhkəmə iclası
Geschäft	das	iş; dükan
Geschäftsleute	die	iş adamları (yalnız cəm)
Geschenk	das	hədiyyə
Geschichte	die	tarix; hekayə
Geschlecht	das	cins
Geschirr	das	qab-qacaq
Geschmack	der	dad
Geschwindigkeit	die	sürət
Geschwindigkeitsbeschränkung	die	sürət həddi
Geschwister	die	bacı-qardaşlar (yalnız cəm)
Gesellschaft	die	cəmiyyət; şirkət
Gesetz	das	qanun
Gesicht	das	üz
Gespräch	das	söhbət
Gesundheit	die	sağlamlıq
Getränk	das	içki
Gewerkschaft	die	həmkarlar ittifaqı
Gewicht	das	çəki
Gewinn	der	qazanc
Gewissen	das	vicdan
Gewitter	das	tufan, şimşəkli yağış
Gewürz	das	ədviyyat
Gift	das	zəhər
Gitarre	die	gitara
Glas	das	stəkan; şüşə
Gleis	das	perron, dəmir yolu xətti
Glück	das	uğur, bəxt
Glückwunsch	der	təbrik
Gold	das	qızıl
Gott	der	tanrı
Gras	das	ot
Grenze	die	sərhəd
Grill	der	manqal
Grippe	die	qrip
Großeltern	die	nənə və baba (yalnız cəm)
Großmutter	die	nənə
Großstadt	die	böyük şəhər
Großvater	der	baba
Größe	die	ölçü
Grund	der	səbəb
Grundstück	das	torpaq sahəsi
Gruppe	die	qrup
Gruß	der	salam
Haar	das	saç
Hackfleisch	das	qiymə ət
Hafen	der	liman
Hähnchen	das	cücə toyuğu, bişmiş toyuq
Halbpension	die	yarım pansion
Hälfte	die	yarım
Halle	die	zal
Hals	der	boyun
Haltestelle	die	dayanacaq
Hammer	der	çəkic
Hand	die	əl
Handtuch	das	dəsmal
Handel	der	ticarət
Händler	der	tacir, satıcı
Handwerker	der	sənətkar
Handy	das	mobil telefon
Hauptbahnhof	der	əsas vağzal
Hauptstadt	die	paytaxt
Haus	das	ev
Hausaufgabe	die	ev tapşırığı
Hausfrau	die	evdar qadın
Haushalt	der	məişət; ailə büdcəsi
Hausmeister	der	bina müdiri
Haut	die	dəri
Heft	das	dəftər
Heim	das	ev, yurd
Heimat	die	vətən
Heimweh	das	vətən həsrəti
Heizung	die	istilik sistemi
Hemd	das	köynək
Herd	der	soba, plitə
Herkunft	die	mənşə
Herkunftsland	das	mənşə ölkəsi
Herr	der	cənab
Hersteller	der	istehsalçı
Herz	das	ürək
Hilfe	die	kömək
Himmel	der	səma, göy
Hit	der	hit (məşhur mahnı)
Hitze	die	isti
Hobby	das	hobi
Hochzeit	die	toy
Hof	der	həyət
Hoffnung	die	ümid
Holz	das	ağac
Honig	der	bal
Hose	die	şalvar
Hotel	das	otel
Hühnchen	das	toyuq, cücə toyuğu
Humor	der	yumor
Hund	der	it
Hunger	der	aclıq
Husten	der	öskürək
Hut	der	papaq, şlyapa
ICE	der	sürətli qatar
Idee	die	fikir
Import	der	idxal
Industrie	die	sənaye
Industriegebiet	das	sənaye zonası
Infektion	die	infeksiya
Information	die	məlumat
Ingenieur	der	mühəndis
Inhalt	der	məzmun
Innenstadt	die	şəhər mərkəzi
Insel	die	ada
Institut	das	institut
Instrument	das	alət
Integration	die	inteqrasiya
Integrationskurs	der	inteqrasiya kursu
Intelligenz	die	zəka
Interesse	das	maraq
Internet	das	internet
Internetanschluss	der	internet bağlantısı
Internetcafé	das	internet kafe
Interview	das	müsahibə
Jacke	die	gödəkçə
Jahreskarte	die	illik bilet
Jazz	der	caz
Jeans	die	cins şalvar
Job	der	iş
Journalist	der	jurnalist
Jugend	die	gənclik
Jugendamt	das	gənclər idarəsi
Jugendliche	der	yeniyetmə
Junge	der	oğlan
Kabine	die	kabin
Kaffee	der	qəhvə
Kalender	der	təqvim
Kälte	die	soyuq
Kamera	die	kamera
Kampf	der	mübarizə
Kanal	der	kanal
Kanne	die	küp, çaynik
Kantine	die	yeməkxana
Kapitel	das	fəsil
Karte	die	kart; xəritə; menyu
Kartoffel	die	kartof
Käse	der	pendir
Kasse	die	kassa
Kasten	der	qutu
Katalog	der	kataloq
Katastrophe	die	fəlakət
Katze	die	pişik
Kauf	der	alış
Käufer	der	alıcı
Kaufhaus	das	ticarət mərkəzi
Keller	der	zirzəmi
Kellner	der	ofisiant
Kenntnisse	die	bilik
Kennzeichen	das	nömrə nişanı (avtomobil)
Kerze	die	şam
Kette	die	zəncir
Kind	das	uşaq
Kindergarten	der	uşaq bağçası
Kinderwagen	der	uşaq arabası
Kindheit	die	uşaqlıq
Kindertagesstätte	die	uşaq məktəbəqədər müəssisəsi
Kino	das	kinoteatr
Kiosk	der	köşk
Kirche	die	kilsə
Kissen	das	yastıq
Klasse	die	sinif
Klassenarbeit	die	sinif işi
Klavier	das	piano
Kleid	das	paltar
Kleidung	die	geyim
Klick	der	klik
Klima	das	iqlim
Klimaanlage	die	kondisioner
Klingel	die	zəng
Klinik	die	klinika
Kloß	der	kündə, knödel tipli yemək
Kneipe	die	pivəxana, bar
Knie	das	diz
Knochen	der	sümük
Knopf	der	düymə
Koch	der	aşpaz
Koffer	der	çamadan
Kofferraum	der	baqaj yeri
Kollege	der	həmkar
Kommunikation	die	kommunikasiya
Kompromiss	der	kompromis
König	der	kral
Konkurrenz	die	rəqabət
Konsulat	das	konsulluq
Kontakt	der	əlaqə
Konto	das	hesab
Kontrolle	die	nəzarət
Konzert	das	konsert
Kopf	der	baş
Kopie	die	surət
Körper	der	bədən
Kosmetik	die	kosmetika
Kosten	die	xərclər
Kostüm	das	kostyum
Kraft	die	güc
Kraftfahrzeug	das	avtomobil
Kranke	der	xəstə
Krankenhaus	das	xəstəxana
Krankenkasse	die	sığorta şirkəti (xəstəlik sığortası)
Krankenpfleger	der	tibb qardaşı
Krankenschwester	die	tibb bacısı
Krankenwagen	der	təcili yardım maşını
Krankheit	die	xəstəlik
Kredit	der	kredit
Kreditkarte	die	kredit kartı
Kreis	der	dairə; rayon
Kreuz	das	xaç
Kreuzung	die	kəsişmə
Kriminalpolizei	die	cinayət polisi
Krimi	der	detektiv
Kritik	die	tənqid
Küche	die	mətbəx
Kuchen	der	tort, piroq
Kugelschreiber	der	şarikalem
Kuli	der	şarikalem
Kuh	die	inək
Kühlschrank	der	soyuducu
Kultur	die	mədəniyyət
Kunde	der	müştəri
Kündigung	die	işdən çıxma ərizəsi
Kunst	die	sənət
Künstler	der	rəssam, sənətkar
Kunststoff	der	plastik
Kurs	der	kurs
Kursleiter	der	kurs rəhbəri
Kurve	die	döngə
Kuss	der	öpüş
Küste	die	sahil (dəniz)
Labor	das	laboratoriya
Laden	der	mağaza
Lage	die	mövqe, vəziyyət
Lager	das	anbar
Lampe	die	lampa
Land	das	ölkə
Landung	die	eniş
Landwirtschaft	die	kənd təsərrüfatı
Länge	die	uzunluq
Lärm	der	səs-küy
Laster	der	yük maşını
Laufwerk	das	disk yürüdücü
Laune	die	əhval-ruhiyyə
Lautsprecher	der	səsgücləndirici
Leben	das	həyat
Lebenslauf	der	tərcümeyi-hal
Lebensmittel	die	ərzaq məhsulları
Leder	das	dəri (material)
Lehre	die	təlim; təcrübə
Lehrer	der	müəllim
Lehrling	der	şagird, təcrübəçi
Leiter	der	rəhbər
Leiter	die	nərdivan
Leitung	die	rəhbərlik; xətt
Leistung	die	nailiyyət; məhsuldarlıq
Leute	die	insanlar (yalnız cəm)
Licht	das	işıq
Liebe	die	sevgi
Lied	das	mahnı
Lieferung	die	çatdırılma
Lift	der	lift
Limonade	die	limonad
Linie	die	xətt
Lippe	die	dodaq
Liste	die	siyahı
LKW	der	yük maşını
Loch	das	deşik
Löffel	der	qaşıq
Lohn	der	maaş
Lokal	das	restoran, yeməkxana
Lösung	die	həll
Luft	die	hava
Lüge	die	yalan
Lust	die	həvəs
Mädchen	das	qız
Magen	der	mədə
Mahlzeit	die	yemək, yemək vaxtı
Mahnung	die	xatırlatma
Makler	der	agent (daşınmaz əmlak)
Mal	das	dəfə
Maler	der	rəssam; boyaçı
Mama	die	ana
Mann	der	kişi; ər
Mannschaft	die	komanda
Mantel	der	palto
Märchen	das	nağıl
Margarine	die	marqarin
Marke	die	marka; nişan
Markt	der	bazar
Marmelade	die	mürəbbə
Maschine	die	maşın
Maßnahme	die	tədbir
Material	das	material
Mathematik	die	riyaziyyat
Mauer	die	divar
Maus	die	siçan
Mechaniker	der	mexanik
Medikament	das	dərman
Medizin	die	tibb; dərman
Meer	das	dəniz
Mehl	das	un
Mehrheit	die	əksəriyyət
Mehrwertsteuer	die	əlavə dəyər vergisi
Meinung	die	fikir
Meister	der	usta
Meldung	die	bildiriş
Menge	die	miqdar; çoxluq
Mensch	der	insan
Messe	die	sərgi
Messer	das	bıçaq
Metall	das	metal
Methode	die	metod
Metzgerei	die	qəssabxana
Miete	die	kirayə haqqı
Mieter	der	kirayəçi
Migrant	der	miqrant
Migration	die	miqrasiya
Migrationshintergrund	der	miqrasiya keçmişi, miqrasiya mənşəyi
Milch	die	süd
Minderheit	die	azlıq
Mineralwasser	das	mineral su
Missverständnis	das	anlaşılmazlıq
Mitarbeiter	der	işçi, əməkdaş
Mitglied	das	üzv
Mitte	die	orta
Mittel	das	vasitə
Möbel	die	mebel (yalnız cəm)
Mobiltelefon	das	mobil telefon
Mode	die	dəb
Modell	das	model
Möglichkeit	die	imkan
Moment	der	an, məqam
Mond	der	ay
Monitor	der	monitor
Motor	der	motor
Motorrad	das	motosiklet
Mühe	die	zəhmət
Müll	der	zibil
Müllabfuhr	die	zibil daşınması
Mülleimer	der	zibil qabı
Mülltonne	die	zibil qutusu
Mund	der	ağız
Münze	die	sikkə
Museum	das	muzey
Musik	die	musiqi
Musiker	der	musiqiçi
Muskel	der	əzələ
Mut	der	cəsarət
Mutter	die	ana
Nachbar	der	qonşu
Nachricht	die	xəbər, məlumat
Nachspeise	die	desert
Nachteil	der	çatışmazlıq, mənfi cəhət
Nachtisch	der	desert
Nadel	die	iynə
Nagel	der	dırnaq; mismar
Nähe	die	yaxınlıq
Name	der	ad
Familienname	der	soyad
Mädchenname	der	qızlıq soyadı
Vorname	der	ad
Nase	die	burun
Natur	die	təbiət
Nebel	der	duman
Neffe	der	qardaş oğlu
Nerv	der	sinir
Nichte	die	qardaş qızı
Nichtraucher	der	siqaret çəkməyən
Norden	der	şimal
Not	die	ehtiyac; məcburiyyət
Notaufnahme	die	təcili yardım şöbəsi
Notausgang	der	təcili çıxış
Notfall	der	fövqəladə hal
Notruf	der	təcili zəng
Note	die	qiymət
Notiz	die	qeyd
Nudel	die	əriştə
Nummer	die	nömrə
Obst	das	meyvə
Ofen	der	soba
Obergeschoss	das	yuxarı mərtəbə
Ohr	das	qulaq
Öl	das	yağ (neft; yeməlik)
Oma	die	nənə
Onkel	der	əmi, dayı
Opa	der	baba
Oper	die	opera
Operation	die	əməliyyat
Opfer	das	qurban
Orange	die	portağal
Orchester	das	orkestr
Ordnung	die	nizam, qayda
Ordner	der	qovluq
Organisation	die	təşkilat
Original	das	orijinal
Ort	der	yer
Osten	der	şərq
Paar	das	cüt
Päckchen	das	kiçik bağlama
Paket	das	bağlama
Panne	die	nasazlıq
Papa	der	ata
Papier	das	kağız
Parfüm	das	ətir
Park	der	park
Parkhaus	das	dayanacaq binası
Parkplatz	der	dayanacaq yeri
Parkuhr	die	dayanacaq saatı
Partner	der	tərəfdaş
Party	die	ziyafət, məclis
Pass	der	pasport
Passagier	der	sərnişin
Patient	der	xəstə
Pause	die	fasilə
Pech	das	uğursuzluq
Pension	die	pansion; təqaüd
Person	die	şəxs
Personal	das	heyət, işçi heyəti
Pfeffer	der	istiot
Pferd	das	at
Pflanze	die	bitki
Pflaster	das	yapışqan sargı
Pflaume	die	gavalı
Pfleger	der	qulluqçu
Pflegeversicherung	die	qulluq sığortası
Pflicht	die	vəzifə
Phantasie	die	xəyal gücü
Philosophie	die	fəlsəfə
Physik	die	fizika
Picknick	das	piknik
Pille	die	həb
Pilz	der	göbələk
PKW	der	minik avtomobili
Plan	der	plan; xəritə
Plastik	das	plastik
Platz	der	yer; meydan
Politik	die	siyasət
Politiker	der	siyasətçi
Polizei	die	polis
Polizist	der	polis əməkdaşı
Pommes frites	die	kartof fri
Portion	die	porsiya
Post	die	poçt
Postfach	das	poçt qutusu
Postkarte	die	açıqca
Postleitzahl	die	poçt indeksi
Praktikum	das	təcrübə
Praktikant	der	təcrübəçi
Praxis	die	təcrübə; həkim otağı
Preis	der	qiymət; mükafat
Problem	das	problem
Produkt	das	məhsul
Produktion	die	istehsal
Professor	der	professor
Profi	der	peşəkar
Programm	das	proqram
Projekt	das	layihə
Prospekt	der	broşür
Protest	der	etiraz
Prozess	der	proses; məhkəmə prosesi
Prüfung	die	imtahan
Publikum	das	tamaşaçı
Pullover	der	sviter
Punkt	der	nöqtə
Puppe	die	gəlincik
Qualifikation	die	ixtisas
Qualität	die	keyfiyyət
Quark	der	kəsmik
Quartal	das	rüb
Quatsch	der	cəfəngiyat
Querstraße	die	ara küçə
Quittung	die	qəbz
Rabatt	der	endirim
Rad	das	təkər; velosiped
Radfahrer	der	velosipedçi
Radio	das	radio
Rand	der	kənar
Rat	der	məsləhət
Ratschlag	der	məsləhət
Rathaus	das	bələdiyyə binası
Raucher	der	siqaret çəkən
Raum	der	otaq; yer
Reaktion	die	reaksiya
Realität	die	reallıq
Rechnung	die	hesab; faktura
Recht	das	hüquq
Rechtsanwalt	der	vəkil
Rede	die	nitq, çıxış
Reform	die	islahat
Regal	das	rəf
Regel	die	qayda
Regen	der	yağış
Region	die	region
Reifen	der	təkər
Reihe	die	sıra
Reinigung	die	təmizləmə
Reis	der	düyü
Reise	die	səyahət
Reisebüro	das	səyahət agentliyi
Rekord	der	rekord
Rente	die	pensiya
Rentner	der	pensiyaçı
Reparatur	die	təmir
Reservierung	die	rezervasiya
Rest	der	qalıq
Restaurant	das	restoran
Rezept	das	resept; resept (dərman)
Rezeption	die	qəbul (otel, klinika)
Rhythmus	der	ritm
Richter	der	hakim
Richtung	die	istiqamət
Rind	das	iribuynuzlu mal-qara; mal əti
Ring	der	üzük
Risiko	das	risk
Rock	der	yubka
Roman	der	roman
Rose	die	gül
Rückfahrt	die	qayıdış səyahəti
Rückkehr	die	qayıdış
Rücken	der	bel
Rucksack	der	çanta, sırt çantası
Rücksicht	die	nəzərə alma
Ruhe	die	sakitlik
Rundfunk	der	radio yayımı
Saal	der	zal
Sache	die	məsələ, iş
Sack	der	torba
Saft	der	şirə
Sahne	die	qaymaq
Saison	die	mövsüm
Salon	der	salon
Salat	der	salat
Salbe	die	məlhəm
Salz	das	duz
Sand	der	qum
Sänger	der	müğənni
Satz	der	cümlə
Schachtel	die	qutu
Schaden	der	ziyan
Schalter	der	açar; xidmət pəncərəsi
Schatten	der	kölgə
Schaufenster	das	vitrin
Schauspieler	der	aktyor
Scheibe	die	dilim; şüşə
Scheidung	die	boşanma
Schein	der	əskinas
Schere	die	qayçı
Schicht	die	növbə
Schiff	das	gəmi
Schild	das	nişan, lövhə
Schinken	der	vetçina
Schirm	der	çətir
Schlaf	der	yuxu
Schlange	die	ilan; növbə
Schloss	das	qəsr; qıfıl
Schluss	der	son
Schlüssel	der	açar
Schmerz	der	ağrı
Schmerzmittel	das	ağrıkəsici
Schmuck	der	bəzək, zinət əşyaları
Schnee	der	qar
Schnitzel	das	şnitsel
Schnupfen	der	soyuqdəymə
Schokolade	die	şokolad
Schrank	der	şkaf
Schrecken	der	qorxu
Schreiben	das	məktub
Schreibtisch	der	iş masası
Schrift	die	yazı; şrift
Schritt	der	addım
Schuh	der	ayaqqabı
Schuld	die	günah; borc
Schule	die	məktəb
Schüler	der	şagird
Schulter	die	çiyin
Schutz	der	müdafiə
Schwangerschaft	die	hamiləlik
Schwein	das	donuz
Schwester	die	bacı
Schwierigkeit	die	çətinlik
Schwimmbad	das	hovuz
See	der	göl
Sehenswürdigkeit	die	görməli yer
Seife	die	sabun
Seite	die	səhifə; tərəf
Sekretärin	die	katibə
Semester	das	semestr
Sender	der	kanal (TV, radio)
Sendung	die	veriliş
Senioren	die	yaşlılar (yalnız cəm)
Serie	die	serial
Service	der	xidmət
Sessel	der	kreslo
Sicherheit	die	təhlükəsizlik
Sieg	der	qələbə
Sieger	der	qalib
Sinn	der	məna
Situation	die	vəziyyət
Sitz	der	oturacaq
Ski	der	xizək
SMS	die	SMS
Socke	die	corab
Sofa	das	divan
Software	die	proqram təminatı
Sohn	der	oğul
Sonderangebot	das	xüsusi təklif
Sonne	die	günəş
Sorge	die	narahatlıq
Soße	die	sous
Souvenir	das	suvenir
Sozialamt	das	sosial xidmət idarəsi
Sozialarbeiter	der	sosial işçi
Sozialhilfe	die	sosial yardım
Spaß	der	əyləncə
Spaziergang	der	gəzinti
Speisekarte	die	menyu
Speisewagen	der	restoran vaqonu
Spezialist	der	mütəxəssis
Spezialpflege	die	xüsusi qulluq
Spiegel	der	güzgü
Spiel	das	oyun
Spieler	der	oyunçu
Spielplatz	der	oyun meydançası
Spielzeug	das	oyuncaq
Sport	der	idman
