Almanca,Azərbaycanca,Kateqoriya,Qeyd
"auf sein","açıq olmaq","Fel","z.B. Das Fenster ist auf."
"aufstehen","qalxmaq / oyanmaq","Fel","trennbare Verb"
"das Auge, -n","göz","İsim",""
"aus (+ Dativ)","içindən / -dan/-dən","Ədat",""
"der Ausflug, -e","ekskursiya / gəzinti","İsim",""
"das Ausland (Sg.)","xarici ölkə","İsim",""
"aussehen (sieht aus)","görünmək","Fel","trennbare Verb"
"aussteigen","düşmək (nəqliyyatdan)","Fel","trennbare Verb"
"das Auto, -s","avtomobil / maşın","İsim",""
"der Automat, -en","avtomat / aparat","İsim",""
"das Baby, -s","körpə","İsim / Anglisizm",""
"das Bad, -er","hamam","İsim",""
"der Bahnhof, -e","vağzal","İsim",""
"der Bahnsteig, -e","peron","İsim",""
"bald","tezliklə","Zərf",""
"der Ball, -e","top","İsim",""
"die Banane, -n","banan","İsim",""
"die Band, -s","ansambl / qrup","İsim / Anglisizm",""
"der Basketball, -e","basketbol","İsim",""
"basteln","əl işi etmək","Fel",""
"der Bauch, -e","qarın","İsim",""
"der Baum, -e","ağac","İsim",""
"bedeuten","mənasına gəlmək","Fel",""
"bei (+ Dativ)","yanında / -da/-də","Ədat",""
"beide","hər ikisi","Əvəzlik",""
"bekommen","almaq / əldə etmək","Fel",""
"der Beruf, -e","peşə / ixtisas","İsim",""
"besetzt","tutulmuş / məşğul","Sifət",""
"besonders","xüsusilə","Zərf",""
"besser","daha yaxşı","Sifət","Komparativ"
"beste/r/s","ən yaxşı","Sifət","Superlativ"
"besuchen","baş çəkmək / ziyarət etmək","Fel",""
"das Bett, -en","çarpayı / yataq","İsim",""
"bezahlen","ödəmək","Fel",""
"die Bibliothek, -en","kitabxana","İsim",""
"billig","ucuz","Sifət",""
"bis (+ Akkusativ)","qədər / -a kimi","Ədat",""
"bisschen (ein bisschen)","bir az","Zərf",""
"bitte","xahiş edirəm / buyurun","Ədat",""
"bleiben","qalmaq","Fel",""
"der Bleistift, -e","karandaş","İsim",""
"blöd","axmaq / gülünc","Sifət",""
"die Blume, -n","çiçək","İsim",""
"die Bluse, -n","bluzka","İsim",""
"brauchen","lazım olmaq / ehtiyacı olmaq","Fel",""
"der Brief, -e","məktub","İsim",""
"bringen","gətirmək","Fel",""
"das Brot, -e","çörək","İsim",""
"das Brötchen, -","bulka / kiçik çörək","İsim",""
"das Buch, -er","kitab","İsim",""
"der Bus, -se","avtobus","İsim",""
"die CD, -s","CD / disk","İsim / Anglisizm",""
"der Comic, -s","komiks","İsim / Anglisizm",""
"der Computer, -","kompüter","İsim / Anglisizm",""
"da","orada / budur","Zərf",""
"der Dank (Sg.)","təşəkkür","İsim",""
"danken","təşəkkür etmək","Fel",""
"dann","sonra / o zaman","Zərf",""
"dein/-e","sənin","Əvəzlik","Possessivpronomen"
"denken","düşünmək","Fel",""
"der / die / das","müəyyən artikl","Artikl",""
"deshalb","buna görə","Bağlayıcı",""
"dick","kök / qalın","Sifət",""
"die Disco, -s","diskoteka","İsim",""
"doch","əksinə / bəli","Ədat","Antwort auf Negativfrage"
"dort","orada","Zərf",""
"du","sən","Əvəzlik",""
"dumm","axmaq","Sifət",""
"durch (+ Akkusativ)","vasitəsilə / içindən","Ədat",""
"der Durst (Sg.)","susuzluq","İsim",""
"duschen","duş almaq","Fel",""
"das Ei, -er","yumurta","İsim",""
"ein / eine","qeyri-müəyyən artikl","Artikl",""
"einfach","sadə / asanlıqla","Sifət",""
"einkaufen","alış-veriş etmək","Fel","trennbare Verb"
"einladen (lädt ein)","dəvət etmək","Fel","trennbare Verb"
"die Einladung, -en","dəvət","İsim",""
"einmal","bir dəfə","Zərf",""
"die Eins, -en","1 / əla (qiymət)","İsim","Beste Note"
"einsteigen","minmək (nəqliyyata)","Fel","trennbare Verb"
"einverstanden sein","razı olmaq","Fel",""
"das Eis (Sg.)","dondurma / buz","İsim",""
"die Eltern (Pl.)","valideynlər","İsim",""
"das Ende, -n","son / bitiş","İsim",""
"endlich","nəhayət","Zərf",""
"entschuldigen","üzr istəmək","Fel",""
"die Entschuldigung, -en","üzr","İsim",""
"er","o (kişi)","Əvəzlik",""
"erklären","izah etmək","Fel",""
"der/die Erwachsene, -n","böyük / yetkin","İsim",""
"erzählen","danışmaq / nağıl etmək","Fel",""
"es","o (orta cins)","Əvəzlik",""
"essen (isst)","yemək","Fel","unregelmäßig"
"das Essen, -","yemək (isim)","İsim",""
"etwas","nəsə / bir az","Əvəzlik",""
"euer / eure","sizin (qeyri-rəsmi)","Əvəzlik",""
"das Fach, -er","fənn / mövzu","İsim",""
"fahren (fährt)","sürmək / getmək","Fel","unregelmäßig"
"die Fahrkarte, -n","bilet","İsim",""
"der Fahrplan, -e","nəqliyyat cədvəli","İsim",""
"das Fahrrad, -er","velosiped","İsim",""
"die Familie, -n","ailə","İsim",""
"der Familienname, -n","soyad","İsim",""
"der Fehler, -","səhv","İsim",""
"das Fenster, -","pəncərə","İsim",""
"die Ferien (Pl.)","tətillər","İsim",""
"fernsehen (sieht fern)","televizora baxmaq","Fel","trennbare Verb"
"das Fernsehen (Sg.)","televiziya","İsim",""
"fertig sein","hazır olmaq","Fel",""
"der Film, -e","film","İsim",""
"finden","tapmaq / hesab etmək","Fel",""
"der Fisch, -e","balıq","İsim",""
"die Flasche, -n","şüşə / butulka","İsim",""
"das Fleisch (Sg.)","ət","İsim",""
"fliegen","uçmaq","Fel",""
"der Flughafen, -","hava limanı","İsim",""
"das Flugzeug, -e","təyyarə","İsim",""
"der Fluss, -e","çay","İsim",""
"das Foto, -s","foto / şəkil","İsim",""
"der Fotoapparat, -e","fotoapparat","İsim",""
"fragen","soruşmaq","Fel",""
"die Frage, -n","sual","İsim",""
"die Frau, -en","qadın / xanım","İsim",""
"frei","azad / boş","Sifət",""
"der Freund, -e","dost (kişi) / sevgili (kişi)","İsim",""
"die Freundin, -nen","dost (qadın) / sevgili (qadın)","İsim",""
"freundlich","mehriban / xoşrəftar","Sifət",""
"froh","şad","Sifət",""
"früh","erkən / tezdən","Zərf",""
"das Frühstück, -e","səhər yeməyi","İsim",""
"frühstücken","səhər yeməyi yemək","Fel",""
"für (+ Akkusativ)","üçün","Ədat",""
"der Fuß, -e","ayaq","İsim",""
"der Fußball, -e","futbol","İsim",""
"der Garten, -","bağ / həyət","İsim",""
"geben (gibt)","vermək","Fel","unregelmäßig"
"geboren","doğulmuş","Sifət",""
"der Geburtstag, -e","ad günü","İsim",""
"gefallen (gefällt)","xoşuna gəlmək","Fel","unregelmäßig"
"gehen","getmək","Fel",""
"das Geld (Sg.)","pul","İsim",""
"das Gemüse (Sg.)","tərəvəz","İsim",""
"gemütlich","rahat","Sifət",""
"genug","kifayət qədər","Zərf",""
"das Gepäck (Sg.)","baqaj / yük","İsim",""
"gerade","indicə / elə indi","Zərf",""
"geradeaus","düz irəli","Zərf",""
"gern(e)","həvəslə / istəyərək","Zərf",""
"das Geschäft, -e","mağaza / iş","İsim",""
"das Geschenk, -e","hədiyyə","İsim",""
"die Geschichte, -n","tarix / hekayə","İsim",""
"geschlossen sein","bağlı olmaq","Fel",""
"gestern","dünən","Zərf",""
"gewinnen","qazanmaq","Fel",""
"das Glas, -er","stəkan / şüşə","İsim",""
"glauben","inanmaq / düşünmək","Fel",""
"gleich","eyni / az sonra","Sifət",""
"das Gleis, -e","rels / platforma","İsim",""
"das Glück (Sg.)","xoşbəxtlik / şans","İsim",""
"glücklich","xoşbəxt","Sifət",""
"der Glückwunsch, -e","təbrik","İsim",""
"groß","böyük / iri","Sifət",""
"die Großeltern (Pl.)","nənə-baba","İsim",""
"der Gruß, -e","salam / salamlama","İsim",""
"gut","yaxşı","Sifət",""
"das Haar, -e","saç","İsim",""
"haben","olmaq / sahib olmaq","Fel",""
"hallo","salam","Ədat",""
"der Hals, -e","boyun / boğaz","İsim",""
"halten (hält)","saxlamaq / dayanmaq","Fel","unregelmäßig"
"die Haltestelle, -n","dayanacaq","İsim",""
"das Handy, -s","mobil telefon","İsim",""
"das Haus, -er","ev","İsim",""
"die Hausaufgabe, -n","ev tapşırığı","İsim",""
"das Heft, -e","dəftər","İsim",""
"heiraten","evlənmək","Fel",""
"heißen","adlanmaq","Fel",""
"helfen (hilft)","kömək etmək","Fel","unregelmäßig"
"der Herr, -en","cənab / bəy","İsim",""
"herzlich","ürəkdən / səmimi","Sifət",""
"heute","bu gün","Zərf",""
"hier","burada","Zərf",""
"das Hobby, -s","hobbi","İsim",""
"die Hochzeit, -en","toy","İsim",""
"hoffen","ümid etmək","Fel",""
"hoffentlich","ümid edirəm ki","Zərf",""
"hören","eşitmək / dinləmək","Fel",""
"hübsch","gözəl / qəşəng","Sifət",""
"der Hund, -e","it","İsim",""
"der Hunger (Sg.)","aclıq","İsim",""
"ich","mən","Əvəzlik",""
"die Idee, -n","fikir / ideya","İsim",""
"Ihr / Ihre","Sizin (rəsmi)","Əvəzlik",""
"immer","həmişə","Zərf",""
"in (+ Dat/Akk)","içində / -da/-də","Ədat","Wechselpräposition"
"die Information, -en","məlumat","İsim",""
"die Insel, -n","ada","İsim",""
"interessant","maraqlı","Sifət",""
"das Internet (Sg.)","internet","İsim / Anglisizm",""
"ja","bəli / hə","Ədat",""
"die Jacke, -n","gödəkçə / pencək","İsim",""
"die Jeans (-)","cins şalvar","İsim",""
"jeder / jede / jedes","hər / hər biri","Əvəzlik",""
"jetzt","indi","Zərf",""
"der/die Jugendliche, -n","gənc / yeniyetmə","İsim",""
"jung","gənc","Sifət",""
"der Junge, -n","oğlan","İsim",""
"der Kaffee, -s","qəhvə","İsim",""
"der Kakao, -s","kakao","İsim",""
"die Kamera, -s","kamera","İsim / Anglisizm",""
"kalt","soyuq","Sifət",""
"kaputt","sınıq / xarab","Sifət",""
"die Karte, -n","kart / bilet / xəritə","İsim","Brief deyil"
"die Kartoffel, -n","kartof","İsim",""
"der Käse (Sg.)","pendir","İsim",""
"die Katze, -n","pişik","İsim",""
"kaufen","almaq","Fel",""
"kein / keine","heç / yox","Əvəzlik","Negation"
"kennen","tanımaq","Fel",""
"kennenlernen","tanış olmaq","Fel","trennbare Verb"
"das Kind, -er","uşaq","İsim / Ailə",""
"das Kino, -s","kino","İsim",""
"der Kiosk, -e","köşk","İsim",""
"klar","aydın / əlbəttə","Sifət",""
"die Klasse, -n","sinif","İsim",""
"die Klassenarbeit, -en","sinif işi / yoxlama işi","İsim","məktəb testi"
"das Klavier, -e","piano","İsim",""
"das Kleid, -er","don / paltar","İsim",""
"klein","kiçik","Sifət",""
"kochen","bişirmək","Fel",""
"kommen","gəlmək","Fel",""
"können (kann)","bacarmaq / bilmək","Fel","Modalverb"
"der Kopf, -e","baş","İsim",""
"kosten","başa gəlmək / dəymək","Fel",""
"krank","xəstə","Sifət",""
"das Krankenhaus, -er","xəstəxana","İsim",""
"der Kuchen, -","tort / keks","İsim",""
"die Küche, -n","mətbəx","İsim",""
"der Kühlschrank, -e","soyuducu","İsim",""
"der Kugelschreiber, - (Kuli)","topaqqalem / qələm","İsim",""
"der Kurs, -e","kurs","İsim",""
"kurz","qısa","Sifət",""
"lachen","gülmək","Fel",""
"die Lampe, -n","lampa","İsim",""
"das Land, -er","ölkə / kənd","İsim",""
"lang","uzun","Sifət",""
"lange","uzun müddət","Zərf",""
"langsam","yavaş","Zərf",""
"langweilig","cansıxıcı","Sifət",""
"lassen (lässt)","buraxmaq / icazə vermək","Fel","unregelmäßig"
"laufen (läuft)","qaçmaq / yüyürmək","Fel","unregelmäßig"
"leben","yaşamaq","Fel",""
"leicht","yüngül / asan","Sifət",""
"leid (tut mir leid)","üzücü / təəssüf","Sifət",""
"leider","təəssüf ki","Zərf",""
"lernen","öyrənmək / oxumaq","Fel",""
"lesen (liest)","oxumaq","Fel","unregelmäßig"
"die Leute (Pl.)","insanlar","İsim",""
"lieb","sevimli / mehriban","Sifət",""
"lieben","sevmək","Fel",""
"lieber","daha çox / üstün tutmaq","Zərf","Komparativ"
"Lieblings-","sevimli / ən sevdiyim","Sifət","Vorsilbe"
"links","solda / sola","Zərf",""
"die Lust (Sg.)","istək / həvəs","İsim",""
"lustig","şən / əyləncəli","Sifət",""
"machen","etmək / düzəltmək","Fel",""
"das Mädchen, -","qız","İsim",""
"die Mail, -s","e-poçt","İsim / Anglisizm",""
"das Mal, -e","dəfə","İsim",""
"man","insan (ümumi)","Əvəzlik",""
"manchmal","bəzən","Zərf",""
"der Mann, -er","kişi / ər","İsim",""
"der Mantel, -","palto","İsim",""
"der Markt, -e","bazar","İsim",""
"der Marktplatz, -e","bazar meydanı","İsim",""
"die Marmelade, -n","mürəbbə","İsim",""
"mehr","daha çox","Zərf","Komparativ"
"mein / meine","mənim","Əvəzlik",""
"die Milch (Sg.)","süd","İsim",""
"mindestens","ən azı","Zərf",""
"das Mineralwasser (Sg.)","mineral su","İsim",""
"mit (+ Dativ)","ilə / -la/-lə","Ədat",""
"mitbringen","özü ilə gətirmək","Fel","trennbare Verb"
"mitkommen","birgə gəlmək","Fel","trennbare Verb"
"mitmachen","iştirak etmək","Fel","trennbare Verb"
"mitnehmen","özü ilə aparmaq","Fel","trennbare Verb"
"mögen (mag)","sevmək / xoşlamaq","Fel","Modalverb"
"möglich","mümkün","Sifət",""
"morgen","sabah","Zərf",""
"müde","yorğun","Sifət",""
"die Musik (Sg.)","musiqi","İsim",""
"müssen (muss)","məcbur olmaq","Fel","Modalverb"
"nach (+ Dativ)","sonra / -a/-ə","Ədat",""
"die Nachricht, -en","xəbər / mesaj","İsim",""
"nächste/r/s","növbəti / gələn","Sifət",""
"der Name, -n","ad","İsim",""
"nehmen (nimmt)","götürmək / almaq","Fel","unregelmäßig"
"nein","xeyr / yox","Ədat",""
"nett","xoş / mehriban","Sifət",""
"neu","yeni","Sifət",""
"nicht","deyil / yox","Ədat","Negation"
"nichts","heç nə","Əvəzlik",""
"nie","heç vaxt","Zərf",""
"niemand","heç kim","Əvəzlik",""
"noch","hələ / daha","Zərf",""
"normal","normal / adi","Sifət",""
"die Note, -n","qiymət / not","İsim",""
"die Nummer, -n","nömrə","İsim",""
"nur","yalnız / ancaq","Zərf",""
"das Obst (Sg.)","meyvə","İsim",""
"oder","ya da / yaxud","Bağlayıcı",""
"offen","açıq","Sifət",""
"oft","tez-tez","Zərf",""
"ohne (+ Akkusativ)","olmadan / -sız/-siz","Ədat",""
"der Ohrring, -e","sırğa","İsim",""
"die Ordnung (Sg.)","nizam / qayda","İsim",""
"das Paket, -e","bağlama / paket","İsim",""
"der Park, -s","park","İsim",""
"passieren","baş vermək","Fel",""
"die Pause, -n","fasilə / ara","İsim",""
"das Pferd, -e","at","İsim",""
"die Pizza, -s / Pizzen","pizza","İsim",""
"der Platz, -e","yer / meydan","İsim",""
"die Post (Sg.)","poçt","İsim",""
"das Poster, -","poster / afişa","İsim / Anglisizm",""
"die Postkarte, -n","məktubkart","İsim",""
"das Problem, -e","problem","İsim",""
"der Pullover, -","sviter","İsim",""
"pünktlich","vaxtında / dəqiq","Zərf",""
"der Quatsch (Sg.)","cəfəngiyat / saçmalıq","İsim",""
"das Quiz, -","viktorina","İsim",""
"das Rad, -er","velosiped / çarx","İsim",""
"der Radiergummi, -s","silgi","İsim",""
"das Radio, -s","radio","İsim",""
"raten (rät)","tapmaq / nəsihət vermək","Fel","unregelmäßig"
"das Rätsel, -","tapmaca","İsim",""
"recht haben","haqlı olmaq","Fel",""
"rechts","sağda / sağa","Zərf",""
"der Regen (Sg.)","yağış","İsim",""
"regnen","yağmaq (yağış)","Fel",""
"die Reise, -n","səyahət","İsim",""
"reiten","at sürmək","Fel",""
"reparieren","təmir etmək","Fel",""
"das Restaurant, -s","restoran","İsim",""
"richtig","düzgün / doğru","Sifət",""
"der Ring, -e","üzük / halqa","İsim",""
"der Rucksack, -e","sırt çantası","İsim",""
"ruhig","sakit","Sifət",""
"die Sache, -n","məsələ / əşya","İsim",""
"der Saft, -e","şirə / meyvə suyu","İsim",""
"sagen","demək / söyləmək","Fel",""
"der Salat, -e","salat","İsim",""
"schade","təəssüf","Sifət",""
"schenken","hədiyyə etmək","Fel",""
"das Schiff, -e","gəmi","İsim",""
"schlafen (schläft)","yatmaq","Fel","unregelmäßig"
"schlecht","pis / xarab","Sifət",""
"schmecken","dadmaq / ləzzətli olmaq","Fel",""
"der Schmerz, -en","ağrı","İsim",""
"schnell","tez / sürətli","Zərf",""
"die Schokolade, -n","şokolad","İsim",""
"schon","artıq","Zərf",""
"schön","gözəl / qəşəng","Sifət",""
"schreiben","yazmaq","Fel",""
"schwer","ağır / çətin","Sifət",""
"das Schwimmbad, -er","üzgüçülük hovuzu","İsim",""
"schwimmen","üzmək","Fel",""
"der See, -n","göl","İsim",""
"sehen (sieht)","görmək","Fel","unregelmäßig"
"sehr","çox / olduqca","Zərf",""
"sein (ist)","olmaq","Fel","Hilfsverb"
"sein / seine","onun (kişi)","Əvəzlik","Possessivpronomen"
"die Seite, -n","səhifə / tərəf","İsim",""
"sicher","əmin / şübhəsiz","Zərf",""
"sie","o (qadın) / onlar","Əvəzlik",""
"Sie","Siz (rəsmi)","Əvəzlik",""
"so","belə / o qədər","Zərf",""
"sofort","dərhal / indicə","Zərf",""
"der Spaß, -e","əyləncə / zövq","İsim",""
"spät","gec","Zərf",""
"später","sonra / daha sonra","Zərf",""
"spazieren gehen","gəzməyə getmək","Fel",""
"das Spiel, -e","oyun","İsim",""
"spielen","oynamaq","Fel",""
"der Spielplatz, -e","oyun meydançası","İsim",""
"der Sport (Sg.)","idman","İsim",""
"die Sprache, -n","dil","İsim",""
"sprechen (spricht)","danışmaq","Fel","unregelmäßig"
"die Stadt, -e","şəhər","İsim",""
"der Strand, -e","çimərlik / sahil","İsim",""
"die Straße, -n","küçə / yol","İsim",""
"das Stück, -e","parça / hissə","İsim",""
"suchen","axtarmaq","Fel",""
"der Supermarkt, -e","supermarket","İsim",""
"die Suppe, -n","şorba","İsim",""
"süß","şirin","Sifət",""
"die Süßigkeiten (Pl.)","şirniyyat","İsim",""
"sympathisch","xoşagələn","Sifət",""
"tanzen","rəqs etmək","Fel",""
"die Tasche, -n","çanta","İsim",""
"das Taschengeld (Sg.)","cib pulu","İsim",""
"die Tasse, -n","fincan / stəkan","İsim",""
"der Tee, -s","çay (içki)","İsim",""
"telefonieren","telefon etmək","Fel",""
"Tennis spielen","tennis oynamaq","Fel",""
"teuer","bahalı","Sifət",""
"das Theater, -","teatr","İsim",""
"das Thema, Themen","mövzu","İsim",""
"das Tier, -e","heyvan","İsim",""
"der Tisch, -e","masa / stol","İsim",""
"die Toilette, -n","tualet","İsim",""
"toll","əla / gözəl","Sifət",""
"tragen (trägt)","geyinmək / daşımaq","Fel","unregelmäßig"
"traurig","kədərli / üzgün","Sifət",""
"treffen (trifft)","görüşmək / rast gəlmək","Fel","unregelmäßig"
"trinken","içmək","Fel",""
"das T-Shirt, -s","futbolka","İsim",""
"tschüss","sağ ol / görüşənədək","Ədat",""
"die Tür, -en","qapı","İsim",""
"die U-Bahn, -en","metro","İsim",""
"üben","məşq etmək / çalışmaq","Fel",""
"über (+ Dat/Akk)","üstündə / haqqında","Ədat","Wechselpräposition"
"überall","hər yerdə","Zərf",""
"die Uhr, -en","saat (cihaz)","İsim / Zaman",""
"um (+ Akkusativ)","saat...-da / ətrafında","Ədat","z.B. um 8 Uhr"
"und","və","Bağlayıcı",""
"unser/-e","bizim","Əvəzlik",""
"der Unterricht (Sg.)","dərs / təlim","İsim",""
"verdienen","qazanmaq (pul)","Fel",""
"vergessen (vergisst)","unutmaq","Fel","unregelmäßig"
"verrückt","dəli / qəribə","Sifət",""
"verstehen","anlamaq / başa düşmək","Fel",""
"viel/-e","çox","Sifət",""
"vielleicht","bəlkə / ola bilsin","Zərf",""
"von (+ Dativ)","haqqında / -dan/-dən","Ədat",""
"vor (+ Dat/Akk)","qarşısında / əvvəl","Ədat","Wechselpräposition"
"der Vorname, -n","ad","İsim",""
"sich vorstellen","özünü təqdim etmək","Fel","reflexiv / trennbar"
"wahr","doğru / həqiqi","Sifət",""
"der Wald, -er","meşə","İsim",""
"wandern","gəzmək / piyada getmək","Fel",""
"wann","nə vaxt","Sual",""
"warm","isti","Sifət",""
"warten","gözləmək","Fel",""
"warum","niyə / nə üçün","Sual",""
"was","nə","Sual",""
"waschen (wäscht)","yumaq","Fel","unregelmäßig"
"das Wasser (Sg.)","su","İsim",""
"wecken","oyatmaq","Fel",""
"weh tun","ağrımaq","Fel",""
"weit","uzaq","Sifət",""
"weiter","davam etmək / daha uzaq","Zərf",""
"welch-","hansı","Sual",""
"wenig/-e","az","Sifət",""
"wer","kim","Sual",""
"werden (wird)","olmaq","Fel","Hilfsverb"
"wichtig","vacib / mühüm","Sifət",""
"wie","necə / nə qədər","Sual",""
"wieder","yenidən / bir daha","Zərf",""
"wiederholen","təkrar etmək","Fel",""
"das Wiedersehen (Sg.)","yenidən görüş","İsim","«Auf Wiedersehen»"
"wie viel","nə qədər","Sual",""
"willkommen","xoş gəlmisiniz","Ədat",""
"wir","biz","Əvəzlik",""
"wirklich","həqiqətən","Zərf",""
"wissen (weiß)","bilmək","Fel","unregelmäßig"
"wo","harada","Sual",""
"woher","haradan","Sual",""
"wohin","haraya","Sual",""
"wohnen","yaşamaq (oturmaq)","Fel",""
"die Wohnung, -en","mənzil / dairə","İsim",""
"das Wohnzimmer, -","qonaq otağı","İsim",""
"wollen (will)","istəmək","Fel","Modalverb"
"das Wort, -er / Worte","söz","İsim",""
"wunderbar","möhtəşəm / gözəl","Sifət",""
"wünschen","arzulamaq / diləmək","Fel",""
"die Wurst, -e","kolbasa / sosis","İsim",""
"der Zahn, -e","diş","İsim",""
"zeigen","göstərmək","Fel",""
"die Zeit, -en","vaxt / zaman","İsim",""
"die Zeitung, -en","qəzet","İsim",""
"das Zimmer, -","otaq","İsim",""
"zu (+ Dativ)","çox / -a/-ə","Ədat",""
"zuerst","əvvəlcə / ilk öncə","Zərf",""
"der Zug, -e","qatar","İsim",""
"zum Beispiel (z.B.)","məsələn","Ədat",""
"zumachen","bağlamaq","Fel","trennbare Verb"
"zusammen","birlikdə","Zərf",""
"zu sein","bağlı olmaq","Fel","z.B. Die Tür ist zu."
"der Blog, -s","bloq","Anglisizm",""
"der CD-Player, -","CD pleyer","Anglisizm",""
"chatten","çat etmək","Anglisizm",""
"der Chat, -s","çat / söhbət otağı","Anglisizm",""
"die Cola, -s","kola","Anglisizm",""
"cool","gözəl / super","Anglisizm",""
"die DVD, -s","DVD","Anglisizm",""
"faxen","faks göndərmək","Anglisizm",""
"das Fax, -e","faks","Anglisizm",""
"googeln","google-da axtarmaq","Anglisizm",""
"die Homepage, -s","ana səhifə","Anglisizm",""
"der Laptop, -s","noutbuk","Anglisizm",""
"der Link, -s","link / keçid","Anglisizm",""
"mailen","e-poçt göndərmək","Anglisizm",""
"die Mailbox, -en","poçt qutusu","Anglisizm",""
"online","onlayn","Anglisizm",""
"das Smartphone, -s","smartfon","Anglisizm",""
"surfen","internet gəzmək","Anglisizm",""
"der Antwortbogen, -","cavab vərəqi","İmtahan dili",""
"die Aufgabe, -n","tapşırıq / məsələ","İmtahan dili",""
"ankreuzen","işarə etmək","İmtahan dili",""
"das Kreuz, -e","işarə","İmtahan dili",""
"das Beispiel, -e","nümunə / misal","İmtahan dili",""
"erlaubt","icazə verilmiş","İmtahan dili",""
"falsch","yanlış / səhv","İmtahan dili",""
"formulieren","ifadə etmək","İmtahan dili",""
"das Gespräch, -e","söhbət / dialoq","İmtahan dili",""
"die Lösung, -en","həll / cavab","İmtahan dili",""
"markieren","işarə etmək","İmtahan dili",""
"der Partner, - / die Partnerin, -nen","tərəfdaş / partner","İmtahan dili",""
"der Teil, -e","hissə / imtahan hissəsi","İmtahan dili",""
"der Test, -s","test","İmtahan dili",""
"der Text, -e","mətn","İmtahan dili",""
"das Wörterbuch, -er","lüğət","İmtahan dili",""
"der Architekt, -en / die Architektin, -nen","memar","Peşə",""
"der Hausmann, -er","ev əri / ev işləri ilə məşğul olan kişi","Peşə","Vermieter deyil"
"die Hausfrau, -en","evdar qadın","Peşə","Vermieterin deyil"
"der Techniker, - / die Technikerin, -nen","texnik","Peşə",""
"der Angestellte, -n / die Angestellte, -n","işçi / əməkdaş","Peşə",""
"der Lehrer, - / die Lehrerin, -nen","müəllim / müəllimə","Peşə",""
"der Künstler, - / die Künstlerin, -nen","rəssam / sənətkar","Peşə",""
"der Ingenieur, -e / die Ingenieurin, -nen","mühəndis","Peşə",""
"der Kaufmann, -leute","tacir / kommersant (kişi)","Peşə",""
"die Kauffrau, -en","tacir / kommersant (qadın)","Peşə",""
"der Schauspieler, -","aktyor","Peşə",""
"die Schauspielerin, -nen","aktrisa","Peşə",""
"der Sekretär, -e","katib (kişi)","Peşə",""
"die Sekretärin, -nen","katibə (qadın)","Peşə",""
"der Vater, -","ata","Ailə",""
"die Mutter, -","ana","Ailə",""
"der Bruder, -","qardaş","Ailə",""
"die Schwester, -n","bacı","Ailə",""
"die Geschwister (Pl.)","qardaş-bacılar","Ailə",""
"die Tante, -n","xala / bibi","Ailə",""
"der Onkel, -","əmi / dayı","Ailə",""
"die Großmutter, -","nənə","Ailə",""
"der Großvater, -","baba","Ailə",""
"schwarz","qara","Rəng",""
"grau","boz","Rəng",""
"blau","mavi","Rəng",""
"grün","yaşıl","Rəng",""
"weiß","ağ","Rəng",""
"rot","qırmızı","Rəng",""
"gelb","sarı","Rəng",""
"braun","qəhvəyi","Rəng",""
"blond","sarışın","Rəng",""
"Ostern (Sg.)","Pasxa","Bayram",""
