Honorierung	die	mükafatlandırma
Hotelfachleute	die	otel işçiləri
Hotelkaufleute	die	otel ticarətçiləri
Hypnose	die	hipnoz
Hypothese	die	fərziyyə
Identität	die	şəxsiyyət
Imagination	die	təxəyyül
Individualität	die	fərdilik
Ingenieurwesen	das	mühəndislik
Insolvenz	die	müflisləşmə
Inspiration	die	ilham
Installation	die	quraşdırma
Intellekt	der	intellekt
Intensität	die	intensivlik
Intention	die	niyyət
Interpretation	die	interpretasiya
Internetplattform	die	internet platforması
Irritation	die	qıcıqlanma
Irrtum	der	səhv, yanılma
Jury	die	münsif heyəti
Jus	das	hüquq
Kalkül	das	hesablama
Kanton	der	kanton
Kapazität	die	tutum
Kirchensteuer	die	kilsə vergisi
Kluft	die	uçurum
Knast	der	həbsxana
Kollektor	der	kollektor
Kolumne	die	rubrika
Kommune	die	kommuna
Kompetenz	die	səriştə
Konjunktur	die	iqtisadi vəziyyət
Konkurrenz	die	rəqabət
Konstante	die	sabit
Konstruktion	die	tikinti, konstruksiya
Kontrahent	der	rəqib, qarşı tərəf
Kreativität	die	yaradıcılıq
Kreuzfahrt	die	kruiz
Krieger	der	döyüşçü
Kulturkritik	die	mədəniyyət tənqidi
Kurator	der	kurator
Kurpark	der	kurort parkı
Labyrinth	das	labirint
Laie	der	həvəskar, qeyri-mütəxəssis
Landwirt	der	fermer
Lastschrift	die	birbaşa debet
Lehramt	das	müəllimlik
Leinwand	die	kətan
Lektüre	die	oxu materialı
Lerneinheit	die	təlim vahidi
Lesart	die	oxuma tərzi
Linde	die	cökə ağacı
Literat	der	yazıçı, ədib
Lohnsteuer	die	gəlir vergisi
Manie	die	məniya, həvəs
Meißel	der	kəski
Mentor	der	mentor
Merkfähigkeit	die	yadda saxlama qabiliyyəti
Metropole	die	metropol
Miene	die	sima, üz ifadəsi
Migration	die	miqrasiya
Mindestlohn	der	minimum əmək haqqı
Minijobber	der	mini işçi
Misserfolg	der	uğursuzluq
Mitspracherecht	das	söz haqqı
Mittelalter	das	orta əsrlər
Modellbau	der	model qurma
Mut	der	cəsarət
Nachlässigkeit	die	səhlənkarlıq
Nettolohn	der	xalis əmək haqqı
Nervenwrack	das	əsəb dəstəsi
Nutzfläche	die	faydalı sahə
Optik	die	optika; görünüş
Option	die	seçim
Organisation	die	təşkilat
Orthografie	die	orfoqrafiya
Panorama	das	panorama
Parasit	der	parazit
Parameter	der	parametr
Pedant	der	davakar adam
Performance	die	performans
Periode	die	dövr
Perspektive	die	perspektiv
Pflegeversicherung	die	qulluq sığortası
Phase	die	faza
Philosoph	der	filosof
Philosophie	die	fəlsəfə
Pionier	der	pioner
Plot	der	süjet
Pointe	die	yumorun pik nöqtəsi
Posten	der	vəzifə; maddə
Präferenz	die	üstünlük
Prävention	die	profilaktika
Priorität	die	prioritet
Proband	der	sınaq iştirakçısı
Prognose	die	proqnoz
Prothese	die	protez
Protagonist	der	baş qəhrəman
Provinz	die	əyalət
Psyche	die	ruh, psixika
Psychoanalyse	die	psixoanaliz
Psychosomatik	die	psixosomatika
Publikation	die	nəşr
Quote	die	kvota, nisbət
Rahmen	der	çərçivə
Ranghöhere	der	yüksək rütbəli
Rangniedere	der	aşağı rütbəli
Ratenzahlung	die	hissə-hissə ödəniş
Raumausstatter	der	interyer dizayneri
Raumfahrer	der	astronavt
Rauschgift	das	narkotik
Reagenzglas	das	sınaq borusu
Recherche	die	araşdırma
Reduktion	die	azalma
Referat	das	məruzə
Reflex	der	refleks
Regelwerk	das	qaydalar toplusu
Reibungspunkt	der	sürtünmə nöqtəsi
Reichtum	der	sərvət
Reiz	der	cazibə, stimul
Renaissance	die	intibah
Repertoire	das	repertuar
Requisit	das	səhnə ləvazimatı
Resistenz	die	müqavimət
Rhetorik	die	ritorika
Ritter	der	cəngavər
Rohstoff	der	xammal
Rückschluss	der	nəticə
Ruhm	der	şöhrət
Sammler	der	kolleksiyaçı
Sarkasmus	der	sarkazm
Schauplatz	der	hadisə yeri
Schiedsrichter	der	hakim
Schiene	die	rels
Schicksal	das	taley
Schlagwort	das	şüar, açar söz
Schlosserwerkstatt	die	çilingər emalatxanası
Schmarotzer	der	parazit, asalak
Schmetterling	der	kəpənək
Schneiderei	die	dərzi sexi
Schock	der	şok
Schuldenfalle	die	borc tələsi
Schuldgefühl	das	günahkarlıq hissi
Schuldner	der	borclu
Schuhwerk	das	ayaqqabı
Schwamm	der	süngər
Schriftverkehr	der	yazışma
Segeltörn	der	yaxta səyahəti
Sekundärliteratur	die	ikinci dərəcəli ədəbiyyat
Selbstvermarktung	die	özünü marketinq
Selbstwertgefühl	das	özünə dəyər hissi
Sensor	der	sensor
Siedler	der	köçkün
Siedlung	die	yaşayış məntəqəsi
Silbe	die	heca
Skizze	die	eskiz
Skulptur	die	heykəl
Small Talk	der	qısa söhbət
Smog	der	tüstü duman
Solarzelle	die	günəş batareyası
Solidaritätszuschlag	der	həmrəylik əlavəsi
Spannungsbogen	der	gərginlik əyrisi
Sparkasse	die	əmanət bankı
Spaßfaktor	der	əyləncə faktoru
Spekulation	die	spekulyasiya
Spezies	die	növ
Spitzenkraft	die	zirvə gücü
Sponsor	der	sponsor
Start-up-Unternehmen	das	startap şirkəti
Statussymbol	das	status simvolu
Steinzeit	die	daş dövrü
Stipendium	das	təqaüd
Studierende	die	tələbə
Studienordnung	die	təhsil proqramı
Suite	die	lüks otaq
Symbol	das	simvol
Symptomatik	die	simptomatika
Tagesordnung	die	gündəlik
Temperament	das	temperament
Touch	der	toxunuş
Trainee	der	stajçı
Tramper	der	avtostopçu
Transfer	der	transfer
Treibhausgas	das	istixana qazı
Tribut	der	xərac
Trio	das	trio
Tristesse	die	kədər, hüzn
Überblick	der	ümumi baxış
Überfluss	der	bolluq
Umgangsform	die	davranış forması
Umgangston	der	davranış tonu
Umsonstladen	der	pulsuz mağaza
Unaussprechliche	das	dillə ifadə olunmaz məfhum
Unterfangen	das	cəhd, təşəbbüs
Untergang	der	süqut, batma
Unternehmenskultur	die	şirkət mədəniyyəti
Urbanisierung	die	urbanizasiya
Urheberrecht	das	müəllif hüququ
Urkunde	die	sənəd
Utopie	die	utopiya
Verlag	der	nəşriyyat
Verfahren	das	prosedür
Verfassung	die	konstitusiya
Verfremdung	die	uzaqlaşdırma
Verfügbarkeit	die	mövcudluq
Vergangenheit	die	keçmiş
Verhaltensmuster	das	davranış modeli
Vermögen	das	sərvət
Vernunft	die	ağıl, məntiq
Verrat	der	xəyanət
Versager	der	uğursuz
Versprecher	der	dil sürçməsi
Vertragssituation	die	müqavilə vəziyyəti
Vertretung	die	təmsilçilik
Verzögerung	die	gecikmə
Vision	die	baxış, vizyon
Vitalität	die	canlılıq
Volontär	der	könüllü
Vorfahre	der	əcdad
Vorläufer	der	sələf
Vorsprung	der	üstünlük
Vorstand	der	idarə heyəti
Vorzug	der	üstünlük
Währung	die	valyuta
Wanderschaft	die	səyahət
Weisheit	die	hikmət
Werdegang	der	inkişaf yolu
Winkel	der	bucaq
Wohlfahrt	die	rifah
Zeitbombe	die	saatlı bomba
Zeitgeber	der	vaxt təyin edən
Ziege	die	keçi
Ziffer	die	rəqəm
Zustrom	der	axın
Zyklus	der	dövr
